,user_id,item_id,rating,timestamp
22755,144,312,5,888396966
2252,297,258,4,884126805
49855,660,192,5,888300488
30867,303,749,4,884968415
52123,554,271,4,879964240
2763,173,104,5,886434361
44483,393,426,5,880889607
41335,558,202,5,891033805
22443,654,340,4,888204230
932,144,439,5,877343121
13403,285,108,5,876521858
42239,526,113,4,879456611
302,191,1031,4,881368891
31691,155,85,4,888185854
48454,488,324,4,891366748
5627,245,578,4,884920998
26112,333,8,4,891544707
7450,15,314,5,877718107
37029,747,88,4,878848098
22783,647,97,4,884368313
40526,858,283,4,874967063
6491,338,618,5,891033256
40895,706,255,5,892719007
46524,212,192,5,878956156
42938,862,61,4,888889035
18764,302,660,4,879468250
17220,223,345,4,888082246
29621,592,709,4,875671890
11136,451,188,5,876299004
35344,887,377,4,880180784
16313,37,1005,5,892431907
14443,44,802,4,881015860
41823,78,308,4,891271278
1594,24,715,4,885852697
34111,875,267,4,882676054
15584,21,199,5,878886480
19442,269,725,4,876955729
33353,406,499,4,876348660
41926,922,896,5,886327748
13095,334,878,5,891566808
37221,384,1331,4,881047049
16535,12,575,4,882141814
52049,714,614,4,879797475
42181,897,78,5,884122278
49402,783,487,4,879438810
28117,210,202,5,879459952
25160,597,289,4,886710735
39092,535,478,4,882359813
2083,238,313,5,889179291
35398,824,10,4,885690526
32908,802,181,5,879441727
34754,255,584,4,882164037
31239,224,212,5,879539789
38164,529,252,4,886198864
10209,238,650,5,889180617
19510,572,208,5,885843964
24209,520,49,4,884475799
54176,270,183,4,885848915
47680,867,272,4,884490936
47397,229,419,5,880484825
42579,159,154,5,876858346
983,258,758,4,874724882
7031,293,346,4,889241426
37383,901,188,5,891032872
49323,691,378,4,875482689
1922,321,31,5,887314417
9840,157,430,5,880134407
54322,604,63,5,879425432
1787,249,257,4,878089144
16765,507,206,5,883767325
20788,139,283,5,879013617
11088,377,169,4,880045886
6205,0,239,5,889751633
37518,684,170,5,879546847
8927,285,696,4,889651672
39207,226,1038,4,879035289
24548,278,60,4,875306552
25863,692,597,4,875729983
52571,513,150,4,875463386
38576,786,279,4,880869819
24050,435,615,5,887770457
452,91,118,5,875640679
14854,345,785,4,875265236
20904,429,506,4,877225660
18714,493,897,4,879541475
20239,589,147,5,879438878
31968,393,176,5,880886919
51969,533,892,5,877807816
50887,933,536,4,884472743
1650,93,154,5,891725332
11301,212,196,5,878956000
49832,715,981,4,884644419
40958,713,27,5,875963242
44160,901,47,4,891033005
32893,566,991,4,882425736
13318,59,501,5,883327174
8185,309,272,5,879436137
4216,332,725,5,891045410
10087,362,95,5,891494835
11025,456,690,4,882397240
15222,183,694,4,889909962
24532,591,834,5,882955948
21760,405,511,4,879445735
29446,171,454,4,875537502
41798,765,239,4,891462614
46284,745,489,5,888639318
29090,401,201,5,876267206
14721,1,0,4,888550871
38806,883,415,4,885716328
47982,642,10,4,891446720
28350,756,285,4,882056007
44502,831,290,4,875035885
46212,892,856,4,879896141
31674,270,207,4,885848447
6642,59,483,5,883326525
53764,200,1102,4,884111830
51895,857,310,5,885774773
49774,419,283,4,891356790
7090,366,99,5,876689878
66,264,115,4,875320714
45352,504,10,4,889333861
52853,681,53,4,888517628
35653,834,646,5,885754096
33870,715,49,4,884715122
53261,296,281,4,874954497
16466,547,623,4,891044538
21323,598,1061,4,880952316
42374,6,68,5,891351728
28432,179,368,5,877127237
19308,213,153,5,892668172
31349,566,174,4,882426673
53828,844,189,5,883949254
3064,84,376,4,882995704
16689,483,0,5,881450058
12856,129,492,5,875801716
8325,129,144,4,876250746
18856,302,695,5,879468021
33753,682,336,4,893286260
13249,471,178,5,875978034
51359,537,49,5,877107656
7569,214,427,5,891435574
46916,268,733,4,891449646
28414,41,224,4,881109060
37546,901,22,5,891033541
28930,91,279,4,876769303
50495,532,499,4,879192702
33068,609,180,4,888703749
25202,614,509,4,879448632
41151,76,153,4,884733621
33442,653,207,5,887864350
17677,298,126,4,877877733
15659,388,231,4,879991081
2293,58,377,5,888205659
49042,692,497,4,875727270
31167,763,124,5,880346722
6230,388,121,4,879916053
31448,620,406,4,880738623
24333,473,13,5,887915306
36638,855,466,5,883432663
31606,635,310,5,891448155
29464,195,150,5,881251820
22352,200,124,5,884111708
29179,455,497,4,881374332
3913,183,1101,4,889912890
26822,629,872,4,885666143
22886,652,154,5,878855483
17770,415,809,4,878879350
777,24,205,4,885852337
54779,467,63,5,875286450
48909,513,67,4,875463551
7126,193,11,5,879520916
18575,456,43,4,882548214
43341,43,514,4,878348784
54237,834,353,5,885754173
52258,922,99,4,884371558
10332,233,191,5,892333653
13416,83,271,4,883452462
18672,573,255,5,891278916
35962,633,466,5,877018125
53151,621,225,5,882592815
37973,641,463,5,885607081
39618,531,443,5,888630585
36312,823,304,4,880755305
15328,380,98,5,892696445
19309,406,963,4,884203128
19267,522,266,5,883699464
28860,306,98,4,879283449
23554,115,218,4,876453560
42930,312,207,4,891014898
38255,917,201,4,875921396
28437,191,506,4,881367889
17308,401,49,4,876266741
23683,605,901,4,880928180
9827,118,307,5,886175117
44486,129,326,4,874953424
29371,701,272,4,875242663
31594,12,662,5,882396955
16580,131,11,4,891278867
8166,312,615,4,891016280
25715,536,410,4,886030938
53601,559,219,4,879976706
41172,930,172,4,891250449
48665,784,3,4,882844294
28657,771,931,4,888539608
44827,755,201,4,888468577
27445,415,213,5,893213444
5450,264,728,5,875320542
7829,188,501,5,893266326
45901,436,99,4,880140051
21822,400,638,4,891032919
31871,649,138,4,891386210
8992,19,249,4,879669697
21337,628,57,4,880117215
43092,127,453,4,879966729
43800,502,99,5,879438346
14551,85,267,5,879570974
27728,756,269,4,884413293
16072,353,591,4,891217755
35369,865,489,4,880078401
44954,279,419,5,891700276
101,43,291,4,883612356
44623,783,314,4,879439232
50832,860,951,5,879303409
39150,756,1009,5,881975787
11988,475,775,4,883365019
40204,618,95,5,885954083
37493,763,134,5,880346255
54648,554,115,4,879962569
16069,441,399,4,883390466
12475,17,59,4,880132055
