,user_id,item_id,rating,timestamp
16444,503,284,4,887831567
26283,42,406,4,883955387
29340,235,123,5,890116059
27796,658,186,4,891384888
45290,725,565,4,883710495
17147,496,230,4,879309734
5096,67,277,4,876973726
39121,9,450,4,877891747
6716,267,159,5,875309829
6782,212,190,5,878956100
38508,17,127,5,880132437
31437,6,176,4,891350900
23931,406,122,4,875043800
17931,453,632,4,881959991
27283,654,157,4,888474713
47760,658,463,4,891383889
35022,507,198,5,883776748
37550,838,261,4,891202756
33044,90,622,5,891439057
9051,415,44,4,893142283
4662,6,7,5,891351328
42928,362,291,5,891493571
48151,717,152,4,879361003
53552,616,308,5,883789424
23728,681,63,5,888522575
42556,406,124,5,875042569
7432,408,60,4,881108777
21375,591,228,5,882956321
12960,173,211,4,886433771
53686,880,419,5,879865307
5095,93,146,5,891725332
48638,833,651,4,891032627
35540,727,712,4,893286638
6308,306,74,5,879283091
41040,813,618,5,878694055
26262,326,634,4,887819582
15574,526,892,4,879456030
43833,345,165,4,874947644
18849,124,166,5,879454448
4034,12,585,4,882140318
48610,832,600,5,890862648
52441,933,864,4,884472743
7024,298,668,4,889502159
28835,748,283,4,879445961
1914,177,856,4,882824671
8732,127,879,4,879968896
15077,177,117,5,882823978
50819,644,171,4,892053483
10567,226,938,4,879035464
19516,338,501,4,891032737
26201,415,975,5,893213019
53073,749,200,5,889133106
50407,550,16,5,892784942
40069,506,241,5,889966054
7441,11,390,5,879960826
28847,663,275,4,876523092
30071,271,622,4,879454797
46622,710,871,5,874730491
25081,655,335,4,892318488
10344,332,303,5,891044095
28796,599,430,4,888452564
41039,890,45,5,886608802
2392,307,447,4,887737194
3100,17,355,4,880130802
10998,449,560,4,882473914
24547,506,714,5,889964274
33372,392,361,4,889731437
20476,519,24,4,885170476
35232,736,151,4,875350720
4216,12,497,5,882139746
5073,94,490,4,879196188
24039,267,459,4,875310463
30168,575,237,4,887169019
13202,43,125,5,878347259
40611,908,488,4,880821349
28636,306,92,4,879283449
26739,544,706,4,880347813
16546,330,188,4,877196634
2816,41,194,5,881107821
44959,909,86,4,892839784
17862,576,273,4,880470732
29131,343,159,5,884814457
5820,330,59,4,877196504
9378,118,435,4,874774719
53794,794,579,4,892761504
1959,292,146,4,888905948
48556,702,275,5,891397015
32567,713,169,4,875963596
24361,462,453,4,877385731
53890,805,84,5,892684675
13257,452,178,4,877554466
11122,9,454,4,877886783
14416,456,219,4,882392853
2884,101,82,4,888801315
43558,845,928,4,878775444
13316,490,40,5,891189631
30498,478,30,4,889125905
31251,325,379,4,879877005
41710,858,302,4,885145375
31066,531,171,5,889235367
50772,920,431,4,891447876
48103,458,862,4,879563334
49100,890,223,5,886610049
7450,118,172,4,874781303
2970,221,703,4,878184924
4365,177,65,4,882827083
24829,523,67,4,884636958
25854,559,127,4,879976427
41739,870,978,4,888479701
757,108,0,4,880563619
22366,636,320,4,882900888
44547,300,355,4,882076619
21323,425,124,4,879444787
16946,203,251,4,892389137
2380,59,162,4,883326339
16203,192,0,4,890859954
6119,282,228,5,879298295
10053,46,295,4,879439113
4451,343,517,4,884814432
14329,65,488,4,883601387
46748,732,277,4,891022311
37715,480,188,4,885828686
23731,540,456,5,883866007
25398,300,176,4,882076121
17629,459,13,5,882912418
2349,214,956,5,891436543
49338,934,24,4,886833231
26628,705,918,4,879439418
38921,879,504,4,876537825
43410,915,265,5,882912385
6344,388,416,4,879991352
34297,675,21,5,892686606
53459,388,467,5,879991115
3140,200,264,4,884113634
28072,621,420,4,882669886
13240,337,290,4,879437655
52032,821,16,4,878439655
38339,282,201,4,879298271
54928,796,630,4,875914337
54715,910,481,4,875966756
8061,200,51,5,884111269
17787,510,832,4,890004863
38513,931,172,4,874854853
30175,542,553,4,877546306
16982,360,180,5,879440573
19420,242,660,4,879988262
17052,453,90,4,881960029
50908,879,162,4,876538986
2657,17,199,4,880130861
26496,105,27,4,881451144
8886,304,197,5,886323839
10627,325,505,5,879874989
25451,457,185,4,886397318
27353,607,467,4,880406032
33516,652,153,4,880151629
29385,17,258,5,880129305
44901,838,496,5,891205245
4827,317,61,4,884495921
40045,535,366,5,882360405
17845,378,164,5,880525368
23666,9,659,4,877886783
29958,15,162,5,877724726
53463,860,622,5,879304624
46699,411,0,4,879716962
31749,835,210,4,875722007
14908,471,207,5,875982867
932,305,13,5,876503995
19385,247,45,5,884535013
22956,330,1138,5,877196820
24723,55,425,4,892679144
15293,159,435,4,876769689
8755,384,146,4,881308434
21378,302,100,4,879467131
46133,813,503,4,878693462
9747,114,882,5,881170998
39660,483,201,4,891195036
8568,200,614,4,884111485
30489,472,291,4,878156824
11019,89,145,5,891385040
53635,890,165,4,886608559
51788,925,7,4,879183164
14178,255,743,4,882165296
3048,93,204,5,891725332
22183,200,117,5,884111708
6043,41,961,4,881109271
35194,503,497,4,887832782
31152,779,117,5,879634017
18025,268,503,5,891447593
14875,12,586,4,881515411
34351,278,352,4,891209077
36419,829,45,5,891354900
37375,649,458,4,891371186
36912,770,289,4,877533731
51840,878,162,5,880167695
12736,295,345,5,884197068
39461,865,158,4,880078604
41931,467,986,5,875301653
20676,510,812,5,890004728
33695,12,715,5,882774081
14490,121,170,5,879270327
12854,335,111,4,877760441
14313,449,87,4,882468239
1699,105,669,4,881450039
5557,355,261,5,891405651
53262,840,837,5,891218459
46443,891,151,5,874830122
11026,392,213,4,887746119
31711,359,189,5,880355678
3909,59,465,4,883327222
3161,58,13,5,888203234
39665,209,195,4,887736393
37002,222,302,5,891548750
45582,847,187,5,879695782
18611,173,267,5,886433833
26372,706,0,5,877325375
7981,293,455,5,877819310
8226,7,173,5,879362233
51085,901,228,5,891033502
13339,306,217,5,879538922
27402,713,53,4,875964131
34076,876,630,4,880870854
51742,739,272,4,891458250
37043,83,306,5,883453617
9005,57,463,5,884305220
15241,120,1120,4,891388250
53541,81,464,4,878769597
22126,361,655,5,885019504
12700,170,825,4,891034835
54446,665,183,4,880567810
32391,834,487,4,885754149
34996,696,619,4,886367100
8268,300,805,4,882075110
16066,310,7,4,884364465
32152,847,133,5,879695515
9533,397,1021,4,875812011
32921,488,715,5,891362773
52268,84,186,4,879454952
26893,184,309,5,883524428
32523,835,18,4,875721948
23405,619,751,4,889988340
6576,68,140,5,882072920
34655,880,66,5,879867631
13362,426,814,5,879701326
49709,896,303,5,888294375
48001,6,45,5,891351042
5303,157,153,4,880135044
44089,710,403,4,874957161
18067,473,6,5,887915414
24120,667,391,4,881605433
23952,137,575,4,879024382
42115,21,45,5,878887765
1511,12,547,5,882397581
37503,940,250,4,891282673
10577,42,696,4,883955498
19438,220,89,5,875245672
33375,660,134,5,876016580
31430,749,423,4,889135879
22865,96,421,4,884239791
31912,215,174,4,880245056
12520,454,488,4,882141385
10758,425,416,5,879444081
52552,494,208,4,888635080
26579,472,8,5,878157357
14557,358,287,5,886453354
26374,414,419,4,879439610
23885,293,141,5,877819761
49729,863,1107,5,880235099
47775,587,545,4,890024876
6384,144,677,4,875270616
44487,862,634,4,888887248
25432,275,674,4,874792018
33207,705,7,5,886285762
44220,532,270,4,887032214
31955,796,656,4,877117972
54451,536,79,4,886031786
53880,621,57,4,882592850
21132,66,96,4,875379683
23427,503,198,4,887838450
19484,330,275,4,877196089
11626,396,277,4,882839517
5450,9,669,5,877892110
5599,51,276,5,882922357
3696,250,45,5,886272086
19044,304,189,4,886323779
6297,108,87,4,880579787
4782,326,1004,4,887819860
22933,294,538,5,879518696
4199,6,198,5,891352220
2652,175,261,5,886047068
45477,672,299,5,888786997
27264,560,173,5,885807215
5961,388,194,4,879991017
8795,278,223,5,875312745
18764,129,109,4,874953895
18423,56,393,4,883697459
20256,496,177,5,879310825
3230,72,275,4,888792192
50192,880,189,5,879867508
36269,906,660,4,879722603
8348,297,483,4,884183237
40002,749,108,4,889132269
54808,736,125,5,892844111
34501,802,645,4,879445393
53999,890,475,4,886609218
27294,503,35,4,887910409
30602,526,173,5,879456691
5321,206,177,5,877878688
5794,127,60,4,879968512
28483,290,528,4,874835218
20965,287,491,4,886373509
22779,522,184,5,883702210
44436,500,662,4,883348185
35344,790,119,4,877909753
26568,489,171,4,875427873
8346,270,59,5,885848863
12811,42,24,5,875975656
44133,821,205,4,878437925
25834,313,306,5,877888796
54431,940,478,5,891282931
35875,478,191,4,879461142
4237,90,459,4,891439208
30620,739,81,4,891457456
40256,802,59,5,879442001
29205,341,202,5,875319992
38900,917,313,4,875288418
12465,302,206,5,879466604
3775,6,411,5,891351509
10023,326,209,4,887746219
38442,824,117,5,885690482
44307,783,306,4,879439232
4685,188,93,4,893263994
48750,812,277,4,885410789
21431,98,108,5,885678784
7799,377,408,4,880056701
22105,455,334,5,887165765
36122,756,943,5,885698979
28559,352,714,4,891402757
54802,905,267,5,880159016
45108,449,102,4,882377590
37035,772,231,4,888557237
51275,591,160,5,882955703
46432,285,841,5,884069544
45120,836,850,5,887064316
23608,641,73,5,885606557
54167,842,246,4,877381784
23120,426,915,5,879701326
40647,843,843,4,885409789
48091,921,440,4,880388426
16532,398,381,4,882343455
36428,567,125,4,877907782
53024,331,528,5,887939092
24482,90,574,4,891439171
15634,534,155,4,879617613
54361,836,212,4,887064356
37326,5,511,4,883600747
1650,122,794,4,879873193
50334,458,264,4,879562859
41171,697,114,4,878882667
41151,930,162,5,891250472
40554,641,163,5,885602314
29077,500,525,4,883348283
51877,150,478,5,879524150
18163,388,614,4,880087804
19940,426,867,5,879701326
32541,844,1134,4,883948173
37918,911,746,4,880946415
7670,15,172,5,877719863
5029,150,575,4,879542688
11996,188,39,4,893266376
54248,428,212,4,882385518
875,160,91,4,891171357
6488,147,489,5,877016605
28318,605,407,4,880924188
53865,333,459,4,891545926
27147,143,604,4,888105472
49813,642,224,4,891447260
8992,81,462,4,878769668
4084,183,47,4,889910034
1273,62,45,4,875747292
38076,938,162,4,885921451
42830,846,497,5,887043514
40315,298,614,4,877881276
241,4,16,4,875636198
40468,829,76,4,891354848
33956,566,126,5,882426210
54881,901,1152,4,891031864
29022,621,79,4,882670587
38373,930,590,4,891251588
31840,150,160,5,879524669
26721,405,10,4,879446529
38765,647,143,4,884881621
49678,675,275,4,892685252
30843,813,173,5,878694381
34577,462,825,5,890452468
50,94,598,4,888954412
26585,657,40,5,875147800
18816,166,7,5,892738237
15989,398,711,5,882345053
47791,862,75,5,888887830
41338,183,359,5,889909840
20580,140,275,4,884584247
6189,224,162,5,879540748
588,56,72,5,883698495
35369,658,90,5,891384798
2838,10,415,4,891905032
35928,479,11,5,891208433
36104,560,161,5,885807261
35218,889,45,4,891638682
53632,585,869,4,884064459
7466,296,199,4,875239535
31537,63,176,4,889737691
34719,654,41,4,887523403
15307,119,111,4,889490290
25188,194,265,4,880710086
35783,736,228,4,875349895
51361,658,501,5,891384499
6828,48,628,5,888068032
13330,471,110,5,883904649
51993,933,109,4,884472704
10392,408,144,5,881108648
15694,467,122,5,875292134
8714,211,414,4,879303795
13072,221,206,4,878182632
24842,591,393,4,882608531
24413,516,117,4,892660033
53867,772,45,4,888557198
23648,587,306,4,890015435
51225,909,184,4,892839929
40907,881,837,4,891691534
11524,271,201,5,879454845
38510,894,416,5,887158866
10114,18,247,4,885411840
18709,176,59,4,880130736
25875,560,412,4,885808000
49032,702,486,4,891397712
17260,307,578,4,887740603
16034,241,319,5,879741340
43715,751,164,4,891402323
44799,910,14,4,875967028
34767,505,387,5,874874054
31554,333,228,4,891546231
32408,792,534,4,891036008
53263,523,1010,4,884636262
23888,536,682,4,886029771
28132,586,867,4,892871031
38323,416,739,4,880952880
50436,862,53,5,888887739
22206,279,145,5,891702544
5361,94,194,5,879197562
42814,692,153,4,875729982
32008,622,117,4,891032275
50965,249,74,4,878092143
25063,18,192,4,885412723
